place_id,name,type,district,lat,lon,indoor,noise,romantic,budget_level,walk_score,alcohol_available,extrovert_friendly,tags
p001,스타벅스 광화문점,cafe,종로구,37.571,126.976,1,3,2,2,1,no,yes,프랜차이즈 작업 실내
p002,어니언 안국,cafe,종로구,37.579,126.985,1,2,3,3,2,no,no,베이커리 감성 데이트
p003,테라로사 한남,cafe,용산구,37.536,127.001,1,3,4,4,2,no,yes,스페셜티 로맨틱
p004,북악스카이웨이 전망대,viewpoint,종로구,37.603,126.971,0,2,5,1,4,no,no,야경 드라이브 로맨틱
p005,남산서울타워,viewpoint,중구,37.551,126.988,0,4,4,3,3,no,yes,야경 관광명소
p006,서울숲,park,성동구,37.544,127.041,0,2,3,1,5,no,yes,산책 데이트 자연
p007,한강공원 뚝섬지구,park,광진구,37.528,127.067,0,3,3,1,5,yes,yes,자전거 피크닉 야외
p008,경복궁,heritage,종로구,37.579,126.977,0,2,4,3,4,no,no,전통 역사 데이트
p009,롯데월드 아쿠아리움,museum,송파구,37.511,127.098,1,3,3,4,2,no,yes,실내 데이트 동물
p010,국립현대미술관 서울,museum,종로구,37.581,126.981,1,1,3,2,3,no,no,예술 전시 조용
p011,코엑스 별마당도서관,museum,강남구,37.512,127.059,1,3,2,1,2,no,no,실내 포토존 무료
p012,동대문디자인플라자,museum,중구,37.566,127.009,1,3,3,3,3,no,yes,전시 현대적
p013,홍대 걷고싶은거리,street,마포구,37.556,126.925,0,5,2,2,5,yes,yes,야외 활기 데이트
p014,이태원 경리단길,street,용산구,37.537,126.993,0,4,3,3,4,yes,yes,맛집 데이트 야간
p015,청계천,trail,종로구,37.570,126.992,0,2,3,1,4,no,yes,산책 야간 데이트
p016,양재천 산책로,trail,서초구,37.467,127.038,0,1,4,1,5,no,no,조용 산책 연인
p017,서울식물원,park,강서구,37.569,126.836,1,2,3,2,4,no,no,자연 실내정원 데이트
p018,한옥마을 북촌,heritage,종로구,37.582,126.985,0,2,4,2,4,no,no,전통 데이트 산책
p019,남대문시장,market,중구,37.560,126.978,0,5,2,1,3,yes,yes,시장 활기 저예산
p020,망원한강공원,park,마포구,37.556,126.896,0,2,4,1,5,yes,yes,산책 야경 데이트